Category,category,FDR,inputGenes
membrane,Component,9.51e-23,"['3702.A0A1P8AW96', '3702.A0A1P8B4T0', '3702.A0A1R7T3B3', '3702.F4I2N7', '3702.F4K8I1', '3702.F4KGE0', '3702.O03042', '3702.O48646', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P11490', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P23321', '3702.P25697', '3702.P25819', '3702.P25856', '3702.P25857', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P32962', '3702.P42699', '3702.P46010', '3702.P46014', '3702.P46422', '3702.P49107', '3702.P54144', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q07473', '3702.Q07488', '3702.Q1G3E7', '3702.Q38814', '3702.Q38833', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39194', '3702.Q39195', '3702.Q39214', '3702.Q41931', '3702.Q41932', '3702.Q41963', '3702.Q42029', '3702.Q42044', '3702.Q42547', '3702.Q52T38', '3702.Q8L5Y5', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8LPS2', '3702.Q8RWS6', '3702.Q8S8H2', '3702.Q8VZ87', '3702.Q8W0Y8', '3702.Q8W493', '3702.Q944G9', '3702.Q949Q5', '3702.Q94C26', '3702.Q96253', '3702.Q96500', '3702.Q96528', '3702.Q9C500', '3702.Q9C5A9', '3702.Q9C639', '3702.Q9C8F3', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9FMA3', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9LUT2', '3702.Q9M8W5', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SGH4', '3702.Q9SH14', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SI62', '3702.Q9SK39', '3702.Q9SKI3', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XIE2', '3702.Q9ZR03', '3702.Q9ZUA5']"
chloroplast envelope,Component,9.78e-22,"['3702.O03042', '3702.O80860', '3702.O82660', '3702.P21218', '3702.P25697', '3702.P25856', '3702.P25857', '3702.P27521', '3702.P46283', '3702.P56766', '3702.P56767', '3702.Q01667', '3702.Q01908', '3702.Q38814', '3702.Q38833', '3702.Q39102', '3702.Q39142', '3702.Q42029', '3702.Q42547', '3702.Q8LCA1', '3702.Q944G9', '3702.Q96500', '3702.Q96528', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9LMQ2', '3702.Q9LPW0', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7N7', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XIE2', '3702.Q9ZR03']"
intracellular membrane-bounded organelle,Component,1.91e-19,"['3702.A0A1P8AW96', '3702.F4K8I1', '3702.O03042', '3702.O23530', '3702.O48646', '3702.O49344', '3702.O49347', '3702.O49506', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P23321', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P29381', '3702.P32961', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46283', '3702.P46422', '3702.P49107', '3702.P50318', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.P92973', '3702.P93002', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q03250', '3702.Q07473', '3702.Q07488', '3702.Q24JJ8', '3702.Q38814', '3702.Q38833', '3702.Q39084', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39194', '3702.Q39195', '3702.Q41931', '3702.Q41932', '3702.Q41963', '3702.Q42029', '3702.Q42044', '3702.Q42547', '3702.Q52T38', '3702.Q6R0H1', '3702.Q6S591', '3702.Q7X9H5', '3702.Q8GY23', '3702.Q8L5Y5', '3702.Q8L785', '3702.Q8L9V6', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8LPS2', '3702.Q8RWS6', '3702.Q8RY71', '3702.Q8VYI3', '3702.Q8VZ87', '3702.Q8W0Y8', '3702.Q8W493', '3702.Q944G9', '3702.Q949Q5', '3702.Q96253', '3702.Q96500', '3702.Q96528', '3702.Q9C500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9FG67', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9FMA3', '3702.Q9FN52', '3702.Q9LJH5', '3702.Q9LKL2', '3702.Q9LMQ2', '3702.Q9LPW0', '3702.Q9LR64', '3702.Q9LRR9', '3702.Q9LRS0', '3702.Q9LUT2', '3702.Q9M1P5', '3702.Q9M8W5', '3702.Q9S714', '3702.Q9S745', '3702.Q9S7H1', '3702.Q9S7H8', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SE33', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SI62', '3702.Q9SIV0', '3702.Q9SK39', '3702.Q9SKI3', '3702.Q9SLJ2', '3702.Q9SPG2', '3702.Q9STF2', '3702.Q9SU72', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SV91', '3702.Q9SVB7', '3702.Q9SWA6', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XIE2', '3702.Q9ZQR8', '3702.Q9ZR03', '3702.Q9ZUA5']"
photosystem II oxygen evolving complex,Component,2.33e-17,"['3702.O49344', '3702.O80634', '3702.P23321', '3702.P27202', '3702.P56780', '3702.P82538', '3702.Q41932', '3702.Q42029', '3702.Q8W0Y8', '3702.Q9S841', '3702.Q9SGH4', '3702.Q9SW65', '3702.Q9XFT3']"
plastoglobule,Component,3.26e-17,"['3702.P19366', '3702.P23321', '3702.P56766', '3702.P56778', '3702.Q01667', '3702.Q07473', '3702.Q8VZ87', '3702.Q944G9', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S831', '3702.Q9S841', '3702.Q9SHE8', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF89']"
intracellular anatomical structure,Component,4.77e-15,"['3702.A0A1P8AW96', '3702.F4K8I1', '3702.O03042', '3702.O23530', '3702.O48646', '3702.O49344', '3702.O49347', '3702.O49506', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P23321', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P25863', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P29381', '3702.P32961', '3702.P32962', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46010', '3702.P46283', '3702.P46422', '3702.P49107', '3702.P50318', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.P92973', '3702.P93002', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q03250', '3702.Q07473', '3702.Q07488', '3702.Q24JJ8', '3702.Q38814', '3702.Q38833', '3702.Q39084', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39194', '3702.Q39195', '3702.Q3E9D5', '3702.Q41931', '3702.Q41932', '3702.Q41963', '3702.Q42029', '3702.Q42044', '3702.Q42547', '3702.Q52T38', '3702.Q6R0H1', '3702.Q6S591', '3702.Q7X9H5', '3702.Q8GY23', '3702.Q8L5Y5', '3702.Q8L785', '3702.Q8L9V6', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8LPS2', '3702.Q8RWS6', '3702.Q8RY71', '3702.Q8VYI3', '3702.Q8VZ87', '3702.Q8W0Y8', '3702.Q8W493', '3702.Q944G9', '3702.Q949Q5', '3702.Q96253', '3702.Q96500', '3702.Q96528', '3702.Q9C500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9C7X0', '3702.Q9FG67', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9FMA3', '3702.Q9FN52', '3702.Q9LJH5', '3702.Q9LKL2', '3702.Q9LMQ2', '3702.Q9LPW0', '3702.Q9LR64', '3702.Q9LRR9', '3702.Q9LRS0', '3702.Q9LUT2', '3702.Q9M1P5', '3702.Q9M8W5', '3702.Q9S714', '3702.Q9S745', '3702.Q9S7H1', '3702.Q9S7H8', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SE33', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SI62', '3702.Q9SIV0', '3702.Q9SK39', '3702.Q9SKI3', '3702.Q9SLJ2', '3702.Q9SPG2', '3702.Q9STF2', '3702.Q9SU72', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SV91', '3702.Q9SVB7', '3702.Q9SW65', '3702.Q9SWA6', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XIE2', '3702.Q9ZQR8', '3702.Q9ZR03', '3702.Q9ZUA5']"
thylakoid lumen,Component,1.32e-14,"['3702.O49344', '3702.O80860', '3702.O82660', '3702.P11490', '3702.P19366', '3702.P23321', '3702.P42699', '3702.P82538', '3702.Q39102', '3702.Q41932', '3702.Q42029', '3702.Q9FKW6', '3702.Q9LR64', '3702.Q9S841', '3702.Q9XFT3']"
photosystem II reaction center,Component,1.41e-13,"['3702.P56778', '3702.P56779', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62095', '3702.P62100']"
photosystem I reaction center,Component,4.77e-12,"['3702.Q9S714', '3702.Q9S7H1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHE8', '3702.Q9SUI4', '3702.Q9SUI6', '3702.Q9SUI7']"
apoplast,Component,2.03e-11,"['3702.O03042', '3702.P0CJ48', '3702.P22953', '3702.P23321', '3702.P25697', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P32961', '3702.P33154', '3702.P37702', '3702.P46283', '3702.P46422', '3702.Q1PE40', '3702.Q41932', '3702.Q42029', '3702.Q42547', '3702.Q8W493', '3702.Q944G9', '3702.Q9C5C2', '3702.Q9FKW6', '3702.Q9FL89', '3702.Q9LPW0', '3702.Q9LRR9']"
cytosol,Component,1.05e-10,"['3702.O03042', '3702.O23530', '3702.O48646', '3702.P21218', '3702.P22953', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25863', '3702.P27521', '3702.P32961', '3702.P32962', '3702.P37702', '3702.P46010', '3702.P46283', '3702.P46422', '3702.P50318', '3702.P82538', '3702.Q01908', '3702.Q03250', '3702.Q38814', '3702.Q38833', '3702.Q39195', '3702.Q3E9D5', '3702.Q41931', '3702.Q41932', '3702.Q41963', '3702.Q42547', '3702.Q8GY23', '3702.Q8LCA1', '3702.Q944G9', '3702.Q96500', '3702.Q96528', '3702.Q9C5C2', '3702.Q9FMA3', '3702.Q9LRR9', '3702.Q9LUT2', '3702.Q9M1P5', '3702.Q9S745', '3702.Q9S7H1', '3702.Q9S841', '3702.Q9SGH4', '3702.Q9SIV0', '3702.Q9SK39', '3702.Q9SLJ2', '3702.Q9STF2', '3702.Q9SU72', '3702.Q9SUI4', '3702.Q9SUI7', '3702.Q9SV91', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XFT3', '3702.Q9ZR03']"
thylakoid light-harvesting complex,Component,2.86e-10,"['3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9SHR7', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF89', '3702.Q9XF91']"
PSII associated light-harvesting complex II,Component,5.13e-09,"['3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9SHR7', '3702.Q9XF87', '3702.Q9XF89', '3702.Q9XF91']"
cellular anatomical structure,Component,5.2e-07,"['3702.A0A1P8AW96', '3702.A0A1P8B4T0', '3702.A0A1R7T3B3', '3702.F4I2N7', '3702.F4K8I1', '3702.F4KGE0', '3702.O03042', '3702.O23530', '3702.O48646', '3702.O49344', '3702.O49347', '3702.O49506', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P23321', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P25863', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P29381', '3702.P32961', '3702.P32962', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46010', '3702.P46014', '3702.P46283', '3702.P46422', '3702.P49107', '3702.P50318', '3702.P54144', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.P92973', '3702.P93002', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q03250', '3702.Q07473', '3702.Q07488', '3702.Q1G3E7', '3702.Q1PE40', '3702.Q24JJ8', '3702.Q38814', '3702.Q38833', '3702.Q39084', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39194', '3702.Q39195', '3702.Q39214', '3702.Q3E9D5', '3702.Q41931', '3702.Q41932', '3702.Q41963', '3702.Q42029', '3702.Q42044', '3702.Q42547', '3702.Q52T38', '3702.Q6R0H1', '3702.Q6S591', '3702.Q7X9H5', '3702.Q84W27', '3702.Q8GY23', '3702.Q8L5Y5', '3702.Q8L785', '3702.Q8L9V6', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8LPS2', '3702.Q8RWS6', '3702.Q8RY71', '3702.Q8S8H2', '3702.Q8VYI3', '3702.Q8VZ87', '3702.Q8W0Y8', '3702.Q8W493', '3702.Q940J8', '3702.Q944G9', '3702.Q949Q5', '3702.Q94C26', '3702.Q96253', '3702.Q96500', '3702.Q96528', '3702.Q9C500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9C7X0', '3702.Q9C8F3', '3702.Q9FG67', '3702.Q9FI56', '3702.Q9FKU8', '3702.Q9FKW6', '3702.Q9FL89', '3702.Q9FMA3', '3702.Q9FN52', '3702.Q9LJH5', '3702.Q9LKL2', '3702.Q9LMQ2', '3702.Q9LPW0', '3702.Q9LR64', '3702.Q9LRR9', '3702.Q9LRS0', '3702.Q9LUT2', '3702.Q9M1P5', '3702.Q9M8W5', '3702.Q9S714', '3702.Q9S745', '3702.Q9S7H1', '3702.Q9S7H8', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SE33', '3702.Q9SGH4', '3702.Q9SH14', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SI62', '3702.Q9SIV0', '3702.Q9SK39', '3702.Q9SKI3', '3702.Q9SLJ2', '3702.Q9SPG2', '3702.Q9STF2', '3702.Q9SU72', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SV91', '3702.Q9SVB7', '3702.Q9SW65', '3702.Q9SWA6', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XIE2', '3702.Q9ZQR8', '3702.Q9ZR03', '3702.Q9ZUA5']"
stromule,Component,1.24e-06,"['3702.P19366', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.Q38814']"
peroxisome,Component,3.22e-06,"['3702.O49344', '3702.O49506', '3702.O80860', '3702.P25819', '3702.P37702', '3702.Q03250', '3702.Q24JJ8', '3702.Q42547', '3702.Q8VYI3', '3702.Q96528', '3702.Q9C5C2', '3702.Q9FMA3', '3702.Q9LJH5', '3702.Q9LRR9', '3702.Q9LRS0']"
"Proton-transporting ATP synthase complex, catalytic core F(1)",Component,1.94e-05,"['3702.P19366', '3702.Q01908', '3702.Q01909', '3702.Q96253', '3702.Q9C5A9']"
extrinsic component of membrane,Component,2.92e-05,"['3702.O49344', '3702.O80634', '3702.P82538', '3702.Q39214', '3702.Q41932', '3702.Q42029', '3702.Q9SGH4', '3702.Q9XFT3']"
chloroplast stromal thylakoid,Component,3.75e-05,"['3702.O49347', '3702.O82660', '3702.P56778', '3702.P62090']"
"Mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)",Component,5.28e-05,"['3702.Q01908', '3702.Q01909', '3702.Q96253', '3702.Q9C5A9']"
Mitochondrial proton-transporting ATP synthase complex,Component,7.24e-05,"['3702.P19366', '3702.Q01908', '3702.Q01909', '3702.Q96253', '3702.Q9C5A9']"
chloroplast thylakoid lumen,Component,0.00012,"['3702.O49344', '3702.O82660', '3702.P23321', '3702.P82538', '3702.Q42029', '3702.Q9LR64']"
Chloroplast ATP synthase complex,Component,0.00018,"['3702.P19366', '3702.Q01908', '3702.Q01909']"
membrane,Component,0.00018,"['3702.A0A1P8AW96', '3702.A0A1P8B4T0', '3702.A0A1R7T3B3', '3702.F4I2N7', '3702.F4KGE0', '3702.O49347', '3702.O80860', '3702.O81208', '3702.P04778', '3702.P0CJ48', '3702.P26288', '3702.P27521', '3702.P46014', '3702.P54144', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P83755', '3702.Q01667', '3702.Q07473', '3702.Q1G3E7', '3702.Q38833', '3702.Q39102', '3702.Q39191', '3702.Q39194', '3702.Q41963', '3702.Q52T38', '3702.Q8L5Y5', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8LPS2', '3702.Q8RWS6', '3702.Q8S8H2', '3702.Q8VZ87', '3702.Q949Q5', '3702.Q94C26', '3702.Q9C639', '3702.Q9C8F3', '3702.Q9M8W5', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SI62', '3702.Q9SKI3', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XIE2', '3702.Q9ZR03', '3702.Q9ZUA5']"
chloroplast photosystem I,Component,0.00018,"['3702.P49107', '3702.Q8LCA1', '3702.Q9S7N7']"
Intrinsic component of membrane,Component,0.00049,"['3702.A0A1P8AW96', '3702.A0A1P8B4T0', '3702.A0A1R7T3B3', '3702.F4I2N7', '3702.F4KGE0', '3702.O49347', '3702.O80860', '3702.O81208', '3702.P04778', '3702.P0CJ48', '3702.P26288', '3702.P27521', '3702.P46014', '3702.P54144', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P83755', '3702.Q01667', '3702.Q07473', '3702.Q07488', '3702.Q1G3E7', '3702.Q38833', '3702.Q39102', '3702.Q39191', '3702.Q39194', '3702.Q41963', '3702.Q52T38', '3702.Q8L5Y5', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8LPS2', '3702.Q8RWS6', '3702.Q8S8H2', '3702.Q8VZ87', '3702.Q949Q5', '3702.Q94C26', '3702.Q9C639', '3702.Q9C8F3', '3702.Q9M8W5', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SI62', '3702.Q9SKI3', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XIE2', '3702.Q9ZR03', '3702.Q9ZUA5']"
extracellular region,Component,0.0024,"['3702.O03042', '3702.P0CJ48', '3702.P22953', '3702.P23321', '3702.P25697', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P32961', '3702.P33154', '3702.P37702', '3702.P46283', '3702.P46422', '3702.Q03250', '3702.Q1PE40', '3702.Q41932', '3702.Q42029', '3702.Q42547', '3702.Q84W27', '3702.Q8W493', '3702.Q940J8', '3702.Q944G9', '3702.Q949Q5', '3702.Q9C5C2', '3702.Q9FKU8', '3702.Q9FKW6', '3702.Q9FL89', '3702.Q9LPW0', '3702.Q9LR64', '3702.Q9LRR9', '3702.Q9SA56']"
photosystem II antenna complex,Component,0.0061,"['3702.Q9LMQ2', '3702.Q9XF89']"
external encapsulating structure,Component,0.0135,"['3702.O03042', '3702.P19366', '3702.P22953', '3702.Q39191', '3702.Q41931', '3702.Q41963', '3702.Q42547', '3702.Q940J8', '3702.Q96528', '3702.Q9FI56', '3702.Q9LUT2']"
EDS1 disease-resistance complex,Component,0.0145,"['3702.Q9S745', '3702.Q9SU72']"
plant-type cell wall,Component,0.0147,"['3702.O03042', '3702.P19366', '3702.P22953', '3702.Q39191', '3702.Q41931', '3702.Q42547', '3702.Q940J8', '3702.Q96528', '3702.Q9FI56', '3702.Q9LUT2']"
cytosolic ribosome,Component,0.0414,"['3702.O03042', '3702.P22953', '3702.P25819', '3702.P37702', '3702.Q42547', '3702.Q96528', '3702.Q9C5C2', '3702.Q9LRR9']"
chlorophyll binding,Function,5.36e-43,"['3702.F4K8I1', '3702.O81208', '3702.P04778', '3702.P0CJ48', '3702.P27521', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56777', '3702.P56778', '3702.P83755', '3702.Q01667', '3702.Q07473', '3702.Q39141', '3702.Q39142', '3702.Q8LCQ4', '3702.Q8VZ87', '3702.Q9C639', '3702.Q9LMQ2', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7W1', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91']"
protein domain specific binding,Function,5.98e-38,"['3702.P04778', '3702.P21218', '3702.P25697', '3702.P25856', '3702.P27521', '3702.P42699', '3702.P46422', '3702.P49107', '3702.Q01667', '3702.Q07473', '3702.Q38814', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q42044', '3702.Q8LCA1', '3702.Q9FKW6', '3702.Q9LMQ2', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7M0', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF89', '3702.Q9XF91']"
mRNA binding,Function,9.61e-25,"['3702.O03042', '3702.P04778', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P23321', '3702.P25856', '3702.P25857', '3702.P27202', '3702.P27521', '3702.P32962', '3702.P46010', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P62090', '3702.P83755', '3702.Q01667', '3702.Q03250', '3702.Q07473', '3702.Q39102', '3702.Q39141', '3702.Q41963', '3702.Q42029', '3702.Q42547', '3702.Q8VZ87', '3702.Q944G9', '3702.Q949Q5', '3702.Q9FI56', '3702.Q9LMQ2', '3702.Q9LPW0', '3702.Q9LRR9', '3702.Q9LUT2', '3702.Q9M1P5', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SHE8', '3702.Q9SLJ2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XIE2', '3702.Q9ZR03']"
tetrapyrrole binding,Function,2.59e-21,"['3702.F4K8I1', '3702.O81208', '3702.P04778', '3702.P0CJ48', '3702.P25819', '3702.P27521', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P62095', '3702.P83755', '3702.Q01667', '3702.Q07473', '3702.Q39141', '3702.Q39142', '3702.Q42547', '3702.Q8LCQ4', '3702.Q8VZ87', '3702.Q96528', '3702.Q9C639', '3702.Q9LMQ2', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7W1', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91']"
electron transfer activity,Function,7.75e-19,"['3702.P11490', '3702.P16972', '3702.P26288', '3702.P42699', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P62090', '3702.P62095', '3702.P83755', '3702.Q07488', '3702.Q41932', '3702.Q9FKW6', '3702.Q9SGH4', '3702.Q9XFT3', '3702.Q9ZR03']"
